Source,Samples,Accuracy,F1_Macro,F1_Weighted
Phi3,300,0.81,0.5487830687830688,0.8086814814814814
Llama31405B,300,0.6333333333333333,0.29921085374375755,0.7405558112184896
GPT4,300,0.5866666666666667,0.30124777183600715,0.6930481283422459
Llama318B,300,0.49333333333333335,0.3361167223924956,0.5609021489272779
Novice,76,0.34210526315789475,0.2985842985842986,0.3111156269051006
Mistral,300,0.27666666666666667,0.2113191616516796,0.3758934900140373
Sonnet,300,0.26,0.20160805022932024,0.3298253689257868
Expert,300,0.22333333333333333,0.17804511828902073,0.2805751483190508
Gemini,300,0.13,0.10537340619307833,0.11182803444278853
