Source,Samples,Accuracy,F1_Macro,F1_Weighted
GPT4,300,0.9266666666666666,0.49900567350997255,0.9314236415745452
Llama31405B,300,0.9033333333333333,0.39085894405043337,0.9095035460992907
Phi3,300,0.8266666666666667,0.5419926369075011,0.8251081454210769
Sonnet,300,0.78,0.40150225608602846,0.7754224419767097
Llama318B,300,0.75,0.4042084594259487,0.7378960720745711
Mistral,300,0.6333333333333333,0.37156365013431797,0.7163925870699756
Gemini,300,0.5933333333333334,0.34358700294542666,0.6547815383049302
Expert,300,0.36666666666666664,0.29250333215053936,0.4510078786515596
Novice,76,0.3157894736842105,0.2754759238521836,0.2824600695467672
